screen_name,count,type,state,party
johnjoyceforpa,79,,,
dgvaladao,79,,,
adamkinzinger,77,,,
goppolicy,76,,,
vandrewfornj,76,,,
abraham_ralph,76,,,
antitrustcaucus,75,,,
repbrady,74,,,
miketurneroh,73,,,
frankdlucas,72,,,
susanbrooksin,70,,,
tomricesc7,70,,,
buckforcolorado,69,,,
willhurd,68,,,
collinsny27,67,,,
votemeadows,67,,,
xochforcongress,66,,,
judychucampaign,65,,,
repdavetrott,64,,,
roybluntmo,62,,,
gregformontana,61,,,
bryansteilforwi,60,,,
housetermlimits,60,,,
krhern,59,,,
walterjones2018,58,,,
lowey4congress,57,,,
voteschrader,57,,,
marktakano,56,,,
senatebudget,56,,,
tomudall,56,,,
congjoewilson,55,,,
macthornberry,55,,,
coffmanforco,55,,,
vantaylortx,54,,,
alfranken,52,,,
jerrymcnerney,52,,,
bruce_westerman,51,,,
jrutherfordfl,50,,,
orrinhatch,50,,,
filemonvela,49,,,
rossspano,49,,,
marchantfortx24,48,,,
teamissa,48,,,
eshoo4congress,47,,,
albiosiresnj,46,,,
devingnunes,46,,,
jacobsny27,46,,,
scottrtipton,46,,,
espaillatny,44,,,
tmac4congress,44,,,
meuser4congress,43,,,
conversations,42,,,
davidschweikert,41,,,
joshua_harder,41,,,
ron4congress,41,,,
makercaucus,40,,,
teamflake,40,,,
godutchformd,39,,,
brucepoliquin,38,,,
jodyhice,38,,,
mikebishopmi,37,,,
teamvisclosky,37,,,
serranocongress,37,,,
bonnie4congress,36,,,
randyhultgren,36,,,
votefortrey,35,,,
votelouiseny,35,,,
replynch,34,,,
russfulcher,34,,,
mointhehouse,33,,,
repkweisimfume,33,,,
robbishoput,33,,,
dr_raulruiz,32,,,
marksanford,32,,,
timscottsc,32,,,
votegregwalden,32,,,
electsmucker,31,,,
prekcaucus,31,,,
congpeteking,31,,,
bobgoodlatte6,30,,,
captclayhiggins,30,,,
louiegohmerttx1,30,,,
teamjeffries,30,,,
votetimmons,30,,,
maxinewatersla,29,,,
tedforcongress,28,,,
vanhollenformd,28,,,
austinscott4ga,27,,,
modcomgop,27,,,
bennetforco,24,,,
carolmillerwv,23,,,
electjimbaird,23,,,
markmeadows,23,,,
brettguthrie,22,,,
lucymcbath_,22,,,
lraforcongress,20,,,
repjohnson,19,,,
walterjones2016,19,,,
mazieforhawaii,19,,,
bobcorker,18,,,
jimhagedornmn,18,,,
jasoninthehouse,18,,,
teamreichert,15,,,
johnnyisakson,14,,,
repalgreentx,14,,,
sjl4hrc,14,,,
gianforte,13,,,
rep_tom_garrett,12,,,
thomasmassieky,12,,,
webstercongress,12,,,
aguilarpete,12,,,
petekingcpg,12,,,
jahanahayes,11,,,
workingforests,10,,,
jameslankford,10,,,
votejimjordan,9,,,
ntsongas,9,,,
teamtiberi,8,,,
davidyoungia,7,,,
debsfischer,7,,,
edcasehawaii,7,,,
pattoomey,7,,,
teamfswilson,7,,,
ratcliffetx4,6,,,
ryanacostello,6,,,
texansforlamar,6,,,
lynnjenkins,6,,,
amodeifornevada,5,,,
gdouglasjones,5,,,
vote_davidson,5,,,
bradsherman4sfv,4,,,
finlitcaucus,4,,,
genegreen29,4,,,
dentforcongress,3,,,
franklobiondonj,3,,,
scottforga,3,,,
voteloucorrea,3,,,
bobbylrushmc,2,,,
dickblumenthal,2,,,
mikekellyforpa3,2,,,
patmeehanpa,2,,,
repjbridenstine,2,,,
joinpaulcook,2,,,
bradyforphilly,1,,,
clcurbelo,1,,,
dansullivan2014,1,,,
emmerpac,1,,,
elect_blake,1,,,
joecrowleyforny,1,,,
johnmshimkus,1,,,
kellyforms01,1,,,
lisaforsenate,1,,,
johnconyersjr,1,,,
johnthune,1,,,
